Split,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,Year,Player
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2011,Daniel Bard
As Reliever,257,29,46,8,3,5,27,24,2,74,7,1,.179,.254,.292,.546,2011,Daniel Bard
All Splits,1.93,1,2,3,10,73,0,0,74.2,45,18,16,6,30,76,.176,2010,Daniel Bard
Home,0.81,0,0,2,4,32,0,0,33.1,14,3,3,1,11,27,.131,2010,Daniel Bard
Away,2.83,1,2,1,6,41,0,0,41.1,31,15,13,5,19,49,.208,2010,Daniel Bard
Day,2.87,0,0,0,1,16,0,0,15.2,13,6,5,3,6,19,.224,2010,Daniel Bard
Night,1.68,1,2,3,9,57,0,0,59.0,32,12,11,3,24,57,.162,2010,Daniel Bard
April,3.07,0,1,0,3,13,0,0,14.2,8,5,5,3,3,18,.157,2010,Daniel Bard
May,0.79,1,0,1,1,12,0,0,11.1,7,2,1,0,6,11,.184,2010,Daniel Bard
June,1.98,0,1,2,3,14,0,0,13.2,7,3,3,1,3,13,.149,2010,Daniel Bard
July,0.96,0,0,0,0,9,0,0,9.1,4,1,1,0,4,9,.129,2010,Daniel Bard
August,1.46,0,0,0,1,11,0,0,12.1,7,2,2,1,6,11,.167,2010,Daniel Bard
September,3.00,0,0,0,2,12,0,0,12.0,12,5,4,1,8,12,.279,2010,Daniel Bard
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2010,Daniel Bard
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2010,Daniel Bard
vs. ARI,0.00,0,0,0,0,2,0,0,2.0,1,0,0,0,0,1,.167,2010,Daniel Bard
vs. BAL,4.00,0,0,0,1,8,0,0,9.0,8,4,4,2,1,10,.258,2010,Daniel Bard
vs. CHW,3.38,0,0,0,2,3,0,0,2.2,3,1,1,0,2,2,.300,2010,Daniel Bard
vs. CLE,7.36,0,1,1,2,4,0,0,3.2,4,3,3,1,3,4,.267,2010,Daniel Bard
vs. COL,0.00,0,0,0,0,2,0,0,1.2,1,0,0,0,0,2,.167,2010,Daniel Bard
vs. KC,3.38,0,1,0,1,3,0,0,2.2,2,1,1,0,1,3,.222,2010,Daniel Bard
vs. LAA,0.00,0,0,0,0,3,0,0,2.2,0,0,0,0,3,3,.000,2010,Daniel Bard
vs. LAD,0.00,0,0,1,1,2,0,0,2.0,1,0,0,0,0,2,.143,2010,Daniel Bard
vs. MIN,4.50,0,0,1,1,2,0,0,2.0,3,1,1,1,1,0,.333,2010,Daniel Bard
vs. NYY,2.61,1,0,0,1,12,0,0,10.1,7,4,3,2,6,11,.179,2010,Daniel Bard
Count 3-1,5,1,2,0,0,1,1,9,0,0,0,0,.400,.786,1.000,1.786,2010,Daniel Bard
Batting #2,26,2,5,1,0,1,2,5,1,9,0,0,.192,.344,.346,.690,2010,Daniel Bard
Batting #3,31,2,5,1,0,2,4,5,0,4,0,0,.161,.270,.387,.657,2010,Daniel Bard
Batting #4,32,4,9,1,0,1,5,4,0,14,1,0,.281,.361,.406,.767,2010,Daniel Bard
Batting #5,30,2,7,0,0,1,4,4,0,8,0,0,.233,.324,.333,.657,2010,Daniel Bard
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2010,Daniel Bard
None On,143,4,27,5,0,4,4,16,0,43,0,0,.189,.270,.308,.578,2010,Daniel Bard
Runners On,113,14,18,3,0,2,26,14,2,33,8,1,.159,.254,.239,.493,2010,Daniel Bard
Scoring Position,66,12,13,2,0,1,24,11,2,22,4,0,.197,.310,.273,.582,2010,Daniel Bard
Bases Loaded,16,5,4,0,0,0,8,0,0,6,0,0,.250,.235,.250,.485,2010,Daniel Bard
"Scoring Position, 2 out",37,5,10,1,0,0,14,6,1,10,0,0,.270,.386,.297,.684,2010,Daniel Bard
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2010,Daniel Bard
As Reliever,256,18,45,8,0,6,30,30,2,76,8,1,.176,.263,.277,.540,2010,Daniel Bard
All Splits,3.65,2,2,1,4,49,0,0,49.1,41,24,20,5,22,63,.228,2009,Daniel Bard
Home,1.46,2,0,0,0,24,0,0,24.2,18,6,4,1,4,30,.207,2009,Daniel Bard
Away,5.84,0,2,1,4,25,0,0,24.2,23,18,16,4,18,33,.247,2009,Daniel Bard
Day,6.48,0,0,0,0,9,0,0,8.1,5,6,6,2,4,12,.167,2009,Daniel Bard
Night,3.07,2,2,1,4,40,0,0,41.0,36,18,14,3,18,51,.240,2009,Daniel Bard
May,1.08,0,0,0,0,6,0,0,8.1,7,1,1,0,3,7,.233,2009,Daniel Bard
June,5.40,0,0,1,1,10,0,0,10.0,9,8,6,0,7,10,.237,2009,Daniel Bard
July,0.00,0,0,0,0,10,0,0,12.0,4,2,0,0,0,20,.103,2009,Daniel Bard
August,7.36,1,1,0,2,11,0,0,11.0,13,9,9,4,7,18,.302,2009,Daniel Bard
September,6.00,1,1,0,1,9,0,0,6.0,7,4,4,1,4,6,.292,2009,Daniel Bard
October,0.00,0,0,0,0,3,0,0,2.0,1,0,0,0,1,2,.167,2009,Daniel Bard
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2009,Daniel Bard
vs. ATL,0.00,0,0,0,0,2,0,0,2.2,1,0,0,0,1,1,.125,2009,Daniel Bard
vs. BAL,0.00,0,0,0,0,5,0,0,5.1,1,0,0,0,2,10,.059,2009,Daniel Bard
vs. CHW,3.00,1,0,0,0,3,0,0,3.0,2,1,1,0,0,5,.182,2009,Daniel Bard
vs. CLE,0.00,0,0,0,0,3,0,0,2.0,1,0,0,0,1,2,.167,2009,Daniel Bard
vs. DET,0.00,0,0,0,0,2,0,0,1.1,1,2,0,0,0,2,.143,2009,Daniel Bard
vs. KC,4.91,0,1,0,1,3,0,0,3.2,3,4,2,0,1,6,.231,2009,Daniel Bard
vs. MIA,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,0,1,.250,2009,Daniel Bard
vs. MIN,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,1,1,.333,2009,Daniel Bard
vs. NYM,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2009,Daniel Bard
vs. NYY,9.64,0,1,0,1,6,0,0,4.2,6,5,5,4,2,5,.300,2009,Daniel Bard
vs. OAK,0.00,0,0,0,0,4,0,0,3.2,2,0,0,0,0,5,.167,2009,Daniel Bard
Batting #2,18,4,4,0,0,2,3,1,0,6,0,0,.222,.250,.556,.806,2009,Daniel Bard
Batting #6,26,1,3,0,0,0,0,2,0,13,0,0,.115,.179,.115,.294,2009,Daniel Bard
Batting #7,20,3,6,4,0,0,5,0,0,7,0,0,.300,.286,.500,.786,2009,Daniel Bard
Batting #8,19,2,5,0,0,0,2,4,0,5,0,0,.263,.391,.263,.654,2009,Daniel Bard
Batting #9,15,0,2,1,0,0,0,3,0,5,0,0,.133,.278,.200,.478,2009,Daniel Bard
Bases Loaded,7,0,2,0,1,0,5,0,0,1,0,0,.286,.286,.571,.857,2009,Daniel Bard
"Scoring Position, 2 out",32,0,6,2,1,0,10,7,2,8,0,0,.188,.366,.313,.678,2009,Daniel Bard
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2009,Daniel Bard
As Reliever,180,24,41,9,1,5,24,22,3,63,4,0,.228,.317,.372,.690,2009,Daniel Bard
All Splits,7.20,1,0,0,0,2,0,0,5.0,6,4,4,1,3,3,.286,2020,Jhoulys Chacin
Home,27.00,0,0,0,0,1,0,0,1.1,5,4,4,1,2,2,.556,2020,Jhoulys Chacin
Away,0.00,1,0,0,0,1,0,0,3.2,1,0,0,0,1,1,.083,2020,Jhoulys Chacin
Night,7.20,1,0,0,0,2,0,0,5.0,6,4,4,1,3,3,.286,2020,Jhoulys Chacin
Right / Left,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2020,Jhoulys Chacin
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Jhoulys Chacin
vs. NYM,7.20,1,0,0,0,2,0,0,5.0,6,4,4,1,3,3,.286,2020,Jhoulys Chacin
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Jhoulys Chacin
Citi Field,0.00,1,0,0,0,1,0,0,3.2,1,0,0,0,1,1,.083,2020,Jhoulys Chacin
Count,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2020,Jhoulys Chacin
Count 0-0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Jhoulys Chacin
Count 0-2,4,1,2,0,0,0,1,0,0,2,0,0,.500,.500,.500,1.000,2020,Jhoulys Chacin
Count 1-0,2,2,2,1,0,0,2,0,0,0,1,0,1.000,1.000,1.500,2.500,2020,Jhoulys Chacin
Count 1-1,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Jhoulys Chacin
Count 1-2,2,1,1,0,0,0,1,0,0,0,0,0,.500,.500,.500,1.000,2020,Jhoulys Chacin
Count 2-0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Jhoulys Chacin
Count 2-1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Jhoulys Chacin
Count 2-2,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Jhoulys Chacin
Count 3-1,1,1,0,0,0,0,1,1,0,0,0,0,.000,.500,.000,.500,2020,Jhoulys Chacin
Count 3-2,2,1,0,0,0,0,1,2,0,1,0,0,.000,.500,.000,.500,2020,Jhoulys Chacin
Batting Order,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2020,Jhoulys Chacin
Batting #1,3,1,1,0,0,1,1,0,0,0,0,0,.333,.333,1.333,1.667,2020,Jhoulys Chacin
Batting #2,3,0,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,2020,Jhoulys Chacin
All Splits,6.01,3,12,0,0,25,24,0,103.1,115,73,69,25,46,101,.280,2019,Jhoulys Chacin
Home,4.99,2,3,0,0,13,12,0,52.1,52,31,29,14,23,54,.257,2019,Jhoulys Chacin
Away,7.06,1,9,0,0,12,12,0,51.0,63,42,40,11,23,47,.301,2019,Jhoulys Chacin
Day,8.44,1,4,0,0,8,8,0,32.0,42,32,30,14,14,37,.309,2019,Jhoulys Chacin
Night,4.92,2,8,0,0,17,16,0,71.1,73,41,39,11,32,64,.265,2019,Jhoulys Chacin
March,5.06,1,0,0,0,1,1,0,5.1,3,3,3,2,2,7,.158,2019,Jhoulys Chacin
April,5.28,2,3,0,0,6,6,0,29.0,24,17,17,5,16,19,.229,2019,Jhoulys Chacin
May,6.46,0,4,0,0,5,5,0,23.2,30,18,17,4,11,18,.309,2019,Jhoulys Chacin
June,5.02,0,1,0,0,3,3,0,14.1,18,8,8,4,6,16,.305,2019,Jhoulys Chacin
July,6.61,0,2,0,0,4,4,0,16.1,24,15,12,4,4,20,.338,2019,Jhoulys Chacin
September,7.36,0,2,0,0,6,5,0,14.2,16,12,12,6,7,21,.267,2019,Jhoulys Chacin
Last 15 Days,12.00,0,2,0,0,3,3,0,9.0,14,12,12,6,4,14,.341,2019,Jhoulys Chacin
Last 30 Days,7.36,0,2,0,0,6,5,0,14.2,16,12,12,6,7,21,.267,2019,Jhoulys Chacin
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Jhoulys Chacin
vs. ARI,23.14,0,1,0,0,1,1,0,2.1,7,7,6,1,1,2,.538,2019,Jhoulys Chacin
vs. ATL,5.40,0,1,0,0,1,1,0,5.0,8,3,3,1,1,3,.381,2019,Jhoulys Chacin
vs. BAL,13.50,0,1,0,0,1,1,0,2.2,5,4,4,3,1,3,.385,2019,Jhoulys Chacin
vs. CHC,1.50,0,1,0,0,1,1,0,6.0,6,2,1,0,1,4,.250,2019,Jhoulys Chacin
vs. COL,0.00,1,0,0,0,1,1,0,6.0,2,0,0,0,3,1,.105,2019,Jhoulys Chacin
vs. LAA,4.26,0,1,0,0,1,1,0,6.1,3,3,3,2,3,1,.150,2019,Jhoulys Chacin
vs. LAD,9.82,0,1,0,0,2,2,0,7.1,11,8,8,1,6,8,.355,2019,Jhoulys Chacin
vs. NYY,0.00,0,0,0,0,2,1,0,3.0,0,0,0,0,1,4,.000,2019,Jhoulys Chacin
vs. PHI,7.20,0,1,0,0,1,1,0,5.0,7,4,4,2,3,6,.318,2019,Jhoulys Chacin
Batting #4,49,12,13,3,1,3,11,5,1,14,1,0,.265,.339,.551,.890,2019,Jhoulys Chacin
Batting #8,36,6,10,1,0,2,6,3,0,10,0,0,.278,.317,.472,.789,2019,Jhoulys Chacin
Batting #9,35,2,3,0,0,1,2,2,0,21,0,0,.086,.135,.171,.307,2019,Jhoulys Chacin
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Jhoulys Chacin
None On,255,16,66,11,0,16,16,21,3,66,0,0,.259,.323,.490,.813,2019,Jhoulys Chacin
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Jhoulys Chacin
1st Time Faced In Game,194,30,51,10,1,10,29,20,2,56,2,0,.263,.333,.479,.813,2019,Jhoulys Chacin
2nd Time Faced In Game,158,33,48,6,1,14,33,21,2,35,3,1,.304,.390,.620,1.010,2019,Jhoulys Chacin
3rd Time Faced In Game,59,5,16,4,0,1,5,5,1,10,1,0,.271,.338,.390,.728,2019,Jhoulys Chacin
4th+ Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2019,Jhoulys Chacin
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Jhoulys Chacin
As Starter,408,73,115,20,2,25,67,45,5,101,6,1,.282,.357,.525,.882,2019,Jhoulys Chacin
As Reliever,3,0,0,0,0,0,0,1,0,0,0,0,.000,.250,.000,.250,2019,Jhoulys Chacin
All Splits,3.50,15,8,0,0,35,35,0,192.2,153,83,75,18,71,156,.220,2018,Jhoulys Chacin
Home,3.79,5,5,0,0,13,13,0,73.2,66,36,31,5,30,70,.242,2018,Jhoulys Chacin
Away,3.33,10,3,0,0,22,22,0,119.0,87,47,44,13,41,86,.205,2018,Jhoulys Chacin
Day,2.83,4,2,0,0,11,11,0,60.1,46,20,19,3,23,51,.213,2018,Jhoulys Chacin
Night,3.81,11,6,0,0,24,24,0,132.1,107,63,56,15,48,105,.222,2018,Jhoulys Chacin
March,10.80,0,0,0,0,1,1,0,3.1,7,4,4,2,2,1,.412,2018,Jhoulys Chacin
April,3.86,2,1,0,0,6,6,0,30.1,30,16,13,2,15,19,.259,2018,Jhoulys Chacin
May,2.73,1,0,0,0,5,5,0,29.2,19,9,9,1,11,25,.188,2018,Jhoulys Chacin
June,3.74,3,2,0,0,6,6,0,33.2,31,14,14,2,15,31,.250,2018,Jhoulys Chacin
July,2.64,4,0,0,0,5,5,0,30.2,17,10,9,3,5,27,.159,2018,Jhoulys Chacin
August,3.79,4,2,0,0,6,6,0,35.2,32,16,15,4,13,32,.237,2018,Jhoulys Chacin
October,1.59,0,0,0,0,1,1,0,5.2,1,1,1,1,2,3,.063,2018,Jhoulys Chacin
Last 30 Days,1.69,1,0,0,0,2,2,0,10.2,2,2,2,1,4,6,.065,2018,Jhoulys Chacin
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Jhoulys Chacin
vs. ARI,0.75,0,0,0,0,2,2,0,12.0,4,1,1,0,6,13,.108,2018,Jhoulys Chacin
vs. ATL,2.57,1,0,0,0,1,1,0,7.0,3,2,2,0,1,7,.130,2018,Jhoulys Chacin
vs. CHC,1.59,2,2,0,0,5,5,0,28.1,16,8,5,2,9,30,.165,2018,Jhoulys Chacin
vs. CHW,0.00,1,0,0,0,1,1,0,5.2,3,0,0,0,1,5,.150,2018,Jhoulys Chacin
vs. COL,3.38,1,0,0,0,1,1,0,5.1,4,2,2,1,2,5,.211,2018,Jhoulys Chacin
vs. KC,3.18,1,0,0,0,1,1,0,5.2,4,2,2,1,1,3,.190,2018,Jhoulys Chacin
vs. LAD,16.62,0,1,0,0,1,1,0,4.1,5,9,8,3,4,3,.278,2018,Jhoulys Chacin
vs. MIA,3.09,2,0,0,0,2,2,0,11.2,11,4,4,0,6,8,.244,2018,Jhoulys Chacin
vs. NYM,5.23,0,0,0,0,2,2,0,10.1,13,6,6,0,4,7,.302,2018,Jhoulys Chacin
Batting #1,91,11,32,5,1,3,11,7,2,11,0,0,.352,.402,.527,.929,2018,Jhoulys Chacin
Batting #5,82,13,17,3,1,3,12,4,1,16,0,0,.207,.250,.378,.628,2018,Jhoulys Chacin
Batting #6,75,4,14,3,0,2,4,9,0,19,0,0,.187,.271,.307,.577,2018,Jhoulys Chacin
Batting #7,73,9,16,2,1,1,7,5,3,15,0,0,.219,.293,.315,.608,2018,Jhoulys Chacin
Batting #8,67,8,12,0,0,3,7,9,2,16,0,0,.179,.295,.313,.608,2018,Jhoulys Chacin
Scoring Position,142,50,28,3,0,2,48,21,1,32,0,0,.197,.289,.261,.550,2018,Jhoulys Chacin
Bases Loaded,10,12,4,0,0,1,12,0,0,1,0,0,.400,.333,.700,1.033,2018,Jhoulys Chacin
"Scoring Position, 2 out",62,10,6,0,0,1,10,8,0,18,2,0,.097,.200,.145,.345,2018,Jhoulys Chacin
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2018,Jhoulys Chacin
1st Time Faced In Game,297,21,57,10,2,6,20,24,4,68,0,0,.192,.260,.300,.560,2018,Jhoulys Chacin
2nd Time Faced In Game,258,34,54,14,1,9,30,35,5,64,0,0,.209,.312,.376,.688,2018,Jhoulys Chacin
3rd Time Faced In Game,140,20,41,7,2,3,19,11,2,24,0,0,.293,.344,.436,.780,2018,Jhoulys Chacin
4th+ Time Faced In Game,2,0,1,1,0,0,0,1,0,0,0,0,.500,.667,1.000,1.667,2018,Jhoulys Chacin
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2018,Jhoulys Chacin
As Starter,697,83,153,32,5,18,69,71,11,156,8,5,.220,.298,.357,.655,2018,Jhoulys Chacin
All Splits,3.89,13,10,0,0,32,32,0,180.1,157,82,78,19,72,153,.235,2017,Jhoulys Chacin
Home,1.79,9,3,0,0,16,16,0,100.1,61,22,20,8,37,83,.175,2017,Jhoulys Chacin
Away,6.53,4,7,0,0,16,16,0,80.0,96,60,58,11,35,70,.302,2017,Jhoulys Chacin
Day,4.38,4,2,0,0,9,9,0,49.1,49,26,24,7,17,49,.262,2017,Jhoulys Chacin
Night,3.71,9,8,0,0,23,23,0,131.0,108,56,54,12,55,104,.225,2017,Jhoulys Chacin
April,5.82,3,3,0,0,6,6,0,34.0,35,23,22,4,12,27,.265,2017,Jhoulys Chacin
May,5.70,1,1,0,0,5,5,0,23.2,29,15,15,4,8,22,.299,2017,Jhoulys Chacin
June,3.00,2,3,0,0,5,5,0,33.0,26,12,11,5,10,27,.222,2017,Jhoulys Chacin
July,2.51,4,0,0,0,5,5,0,28.2,21,8,8,2,13,25,.204,2017,Jhoulys Chacin
August,3.31,1,3,0,0,6,6,0,32.2,23,13,12,3,20,23,.202,2017,Jhoulys Chacin
September,3.18,2,0,0,0,5,5,0,28.1,23,11,10,1,9,29,.221,2017,Jhoulys Chacin
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2017,Jhoulys Chacin
vs. ARI,5.21,1,1,0,0,3,3,0,19.0,18,11,11,2,5,16,.254,2017,Jhoulys Chacin
vs. ATL,3.75,0,2,0,0,2,2,0,12.0,15,6,5,0,5,7,.319,2017,Jhoulys Chacin
vs. CHC,3.00,0,1,0,0,1,1,0,6.0,5,2,2,1,3,6,.238,2017,Jhoulys Chacin
vs. CHW,4.26,1,0,0,0,1,1,0,6.1,7,3,3,2,1,5,.269,2017,Jhoulys Chacin
vs. CIN,4.85,1,1,0,0,2,2,0,13.0,10,7,7,4,4,9,.222,2017,Jhoulys Chacin
vs. COL,3.31,1,1,0,0,3,3,0,16.1,12,7,6,1,8,17,.200,2017,Jhoulys Chacin
vs. LAD,4.56,2,1,0,0,5,5,0,25.2,25,14,13,4,12,22,.258,2017,Jhoulys Chacin
vs. MIL,1.29,0,0,0,0,1,1,0,7.0,2,1,1,0,2,8,.087,2017,Jhoulys Chacin
vs. MIN,0.00,1,0,0,0,1,1,0,7.0,3,0,0,0,2,3,.125,2017,Jhoulys Chacin
vs. NYM,13.50,1,1,0,0,2,2,0,6.0,12,9,9,1,3,5,.414,2017,Jhoulys Chacin
vs. PHI,1.42,1,0,0,0,1,1,0,6.1,3,1,1,1,2,6,.150,2017,Jhoulys Chacin
Batting #8,66,2,11,2,0,0,2,6,1,16,1,0,.167,.247,.197,.444,2017,Jhoulys Chacin
Runners On,266,70,71,13,0,7,63,33,7,60,5,3,.267,.356,.395,.751,2017,Jhoulys Chacin
Scoring Position,144,57,39,7,0,2,51,23,5,33,2,1,.271,.376,.361,.738,2017,Jhoulys Chacin
Bases Loaded,20,19,5,0,0,2,17,0,0,3,0,0,.250,.227,.550,.777,2017,Jhoulys Chacin
"Scoring Position, 2 out",65,22,13,0,0,2,18,15,4,13,1,0,.200,.381,.292,.673,2017,Jhoulys Chacin
All Splits,4.81,6,8,0,0,34,22,1,144.0,153,81,77,14,55,119,.272,2016,Jhoulys Chacin
Home,3.52,4,2,0,0,13,9,1,64.0,57,26,25,3,18,54,.237,2016,Jhoulys Chacin
Away,5.85,2,6,0,0,21,13,0,80.0,96,55,52,11,37,65,.299,2016,Jhoulys Chacin
Day,4.45,2,1,0,0,9,5,0,32.1,30,16,16,5,14,30,.244,2016,Jhoulys Chacin
Night,4.92,4,7,0,0,25,17,1,111.2,123,65,61,9,41,89,.280,2016,Jhoulys Chacin
April,3.27,1,1,0,0,4,4,0,22.0,22,9,8,0,4,23,.259,2016,Jhoulys Chacin
May,5.23,1,2,0,0,5,5,1,31.0,27,18,18,6,10,24,.229,2016,Jhoulys Chacin
June,8.59,1,3,0,0,5,5,0,22.0,32,22,21,2,17,7,.352,2016,Jhoulys Chacin
July,4.19,0,1,0,0,7,1,0,19.1,22,9,9,3,5,18,.289,2016,Jhoulys Chacin
August,5.79,2,1,0,0,6,3,0,18.2,23,12,12,1,9,17,.307,2016,Jhoulys Chacin
September,3.38,0,0,0,0,6,3,0,24.0,23,11,9,2,9,23,.247,2016,Jhoulys Chacin
Last 7 Days,0.00,1,0,0,0,1,1,0,7.0,4,0,0,0,1,7,.167,2016,Jhoulys Chacin
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2016,Jhoulys Chacin
vs. BAL,0.00,0,0,0,0,1,0,0,0.2,0,0,0,0,0,1,.000,2016,Jhoulys Chacin
vs. BOS,5.93,1,1,0,0,3,2,0,13.2,20,9,9,2,5,13,.345,2016,Jhoulys Chacin
vs. CLE,47.25,0,1,0,0,1,1,0,1.1,6,7,7,1,3,0,.667,2016,Jhoulys Chacin
vs. DET,0.69,2,0,0,0,2,1,1,13.0,7,1,1,0,2,15,.159,2016,Jhoulys Chacin
vs. HOU,2.84,1,1,0,0,4,3,0,19.0,17,9,6,1,11,16,.239,2016,Jhoulys Chacin
vs. MIA,5.06,0,0,0,0,1,1,0,5.1,4,3,3,0,0,6,.200,2016,Jhoulys Chacin
vs. MIN,7.20,1,0,0,0,1,1,0,5.0,7,4,4,0,1,2,.318,2016,Jhoulys Chacin
vs. NYM,9.58,0,2,0,0,2,2,0,10.1,14,12,11,4,6,9,.318,2016,Jhoulys Chacin
vs. NYY,4.09,1,1,0,0,2,2,0,11.0,13,5,5,0,4,7,.302,2016,Jhoulys Chacin
vs. OAK,7.04,0,1,0,0,3,1,0,7.2,9,6,6,1,8,7,.300,2016,Jhoulys Chacin
Batting #1,67,3,20,4,0,1,4,9,1,10,1,0,.299,.390,.403,.793,2016,Jhoulys Chacin
Batting #5,62,19,26,3,0,5,16,8,1,11,1,0,.419,.486,.710,1.196,2016,Jhoulys Chacin
Batting #6,63,14,12,4,0,1,10,2,0,14,0,0,.190,.215,.302,.517,2016,Jhoulys Chacin
Batting #7,58,4,15,5,0,0,4,6,0,8,0,0,.259,.323,.345,.668,2016,Jhoulys Chacin
Batting #8,55,7,14,1,0,2,7,4,1,15,1,0,.255,.317,.382,.698,2016,Jhoulys Chacin
Scoring Position,119,56,33,8,2,1,49,20,1,30,1,0,.277,.370,.403,.773,2016,Jhoulys Chacin
Bases Loaded,15,18,7,2,0,0,17,2,0,3,0,0,.467,.500,.600,1.100,2016,Jhoulys Chacin
"Scoring Position, 2 out",65,28,20,3,2,0,24,8,1,16,0,0,.308,.392,.415,.807,2016,Jhoulys Chacin
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2016,Jhoulys Chacin
As Starter,454,69,129,25,3,12,61,44,5,84,5,0,.284,.350,.432,.781,2016,Jhoulys Chacin
As Reliever,108,12,24,2,0,2,12,11,0,35,0,1,.222,.294,.296,.590,2016,Jhoulys Chacin
All Splits,3.38,2,1,0,0,5,4,0,26.2,24,11,10,4,10,21,.240,2015,Jhoulys Chacin
Home,2.95,0,1,0,0,3,3,0,18.1,15,7,6,3,5,14,.224,2015,Jhoulys Chacin
Away,4.32,2,0,0,0,2,1,0,8.1,9,4,4,1,5,7,.273,2015,Jhoulys Chacin
Day,6.00,1,0,0,0,1,0,0,3.0,3,2,2,0,1,4,.250,2015,Jhoulys Chacin
Night,3.04,1,1,0,0,4,4,0,23.2,21,9,8,4,9,17,.239,2015,Jhoulys Chacin
August,2.70,0,1,0,0,2,2,0,13.1,11,5,4,2,3,11,.220,2015,Jhoulys Chacin
September,4.05,2,0,0,0,3,2,0,13.1,13,6,6,2,7,10,.260,2015,Jhoulys Chacin
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2015,Jhoulys Chacin
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2015,Jhoulys Chacin
vs. LAD,3.38,1,0,0,0,1,1,0,5.1,6,2,2,1,4,3,.286,2015,Jhoulys Chacin
vs. OAK,2.57,0,0,0,0,1,1,0,7.0,5,2,2,1,2,6,.200,2015,Jhoulys Chacin
vs. STL,2.84,0,1,0,0,1,1,0,6.1,6,3,2,1,1,5,.240,2015,Jhoulys Chacin
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2015,Jhoulys Chacin
Chase Field,2.95,0,1,0,0,3,3,0,18.1,15,7,6,3,5,14,.224,2015,Jhoulys Chacin
Dodger Stadium,3.38,1,0,0,0,1,1,0,5.1,6,2,2,1,4,3,.286,2015,Jhoulys Chacin
PETCO Park,6.00,1,0,0,0,1,0,0,3.0,3,2,2,0,1,4,.250,2015,Jhoulys Chacin
